7c0537,2024-09-28 18:06:15,OPEN,fup,,
8f597b,2024-09-28 18:06:43,SELF,fup,fila,10
351910,2024-09-28 18:06:47,SELF,fup,fila,1
22b8be,2024-09-28 18:11:42,SELF,fup,fila,10
a3ae2f,2024-09-28 18:12:01,SELF,fup,fila,1
c526ec,2024-09-28 18:12:03,SELF,fup,cartas,10
5f6be3,2024-09-28 18:12:04,SELF,fup,fila,10
62938a,2024-09-28 18:12:33,SELF,fup,cartas,7
a1d17a,2024-09-28 18:12:37,SELF,fup,fila,1
41e07d,2024-09-28 18:12:47,SELF,fup,fila,0
fafe6c,2024-09-28 18:17:38,TEST,fup,maximo,0%
9a7f9c,2024-09-28 18:17:46,TEST,fup,maximo,0%
9fdd94,2024-09-28 18:17:48,SELF,fup,maximo,10
84eeac,2024-09-28 18:17:49,SELF,fup,chaves,10
7dc0d9,2024-09-28 18:17:50,SELF,fup,chute,10
ddb0e7,2024-09-28 18:17:50,SELF,fup,maior,10
e74138,2024-09-28 18:17:52,SELF,fup,taxi,10
162444,2024-09-28 18:17:52,SELF,fup,zerinho,10
1e0539,2024-09-28 18:19:51,SELF,fup,maximo,9
ca3b01,2024-09-28 18:19:51,SELF,fup,maximo,8
52133f,2024-09-28 18:19:51,SELF,fup,maximo,7
1715be,2024-09-28 18:19:51,SELF,fup,maximo,6
45e0fe,2024-09-28 18:19:52,SELF,fup,maximo,5
445f21,2024-09-28 18:19:52,SELF,fup,maximo,4
de3187,2024-09-28 18:19:52,SELF,fup,maximo,3
594031,2024-09-28 18:19:52,SELF,fup,maximo,2
d801e8,2024-09-28 18:19:52,SELF,fup,maximo,1
12a2cf,2024-09-28 18:19:52,SELF,fup,maximo,0
6d9c52,2024-09-28 18:19:54,SELF,fup,chaves,9
6f5685,2024-09-28 18:19:54,SELF,fup,chaves,8
7dd1af,2024-09-28 18:19:54,SELF,fup,chaves,7
7c5352,2024-09-28 18:19:54,SELF,fup,chaves,6
6663dc,2024-09-28 18:19:54,SELF,fup,chaves,5
75b012,2024-09-28 18:19:54,SELF,fup,chaves,4
8765e1,2024-09-28 18:19:55,SELF,fup,chaves,3
08f412,2024-09-28 18:19:55,SELF,fup,chaves,2
0915f8,2024-09-28 18:19:55,SELF,fup,chaves,1
be3ad4,2024-09-28 18:19:55,SELF,fup,chaves,0
7e551d,2024-09-28 18:19:56,SELF,fup,chute,9
2619a8,2024-09-28 18:19:56,SELF,fup,chute,8
e3aa21,2024-09-28 18:19:56,SELF,fup,chute,7
ef2f4b,2024-09-28 18:19:56,SELF,fup,chute,6
1caa6c,2024-09-28 18:19:57,SELF,fup,chute,5
233636,2024-09-28 18:19:57,SELF,fup,chute,4
468920,2024-09-28 18:19:57,SELF,fup,chute,3
60e943,2024-09-28 18:19:57,SELF,fup,chute,2
748edb,2024-09-28 18:19:58,SELF,fup,chute,1
bdf55f,2024-09-28 18:19:59,SELF,fup,chute,0
54761b,2024-09-28 18:19:59,SELF,fup,maior,9
8a7c60,2024-09-28 18:19:59,SELF,fup,maior,8
b90f9b,2024-09-28 18:19:59,SELF,fup,maior,7
8145a6,2024-09-28 18:20:00,SELF,fup,maior,6
54a734,2024-09-28 18:20:00,SELF,fup,maior,5
e5dc56,2024-09-28 18:20:00,SELF,fup,maior,4
87e906,2024-09-28 18:20:00,SELF,fup,maior,3
e39996,2024-09-28 18:20:00,SELF,fup,maior,2
445068,2024-09-28 18:20:00,SELF,fup,maior,1
7b6220,2024-09-28 18:20:01,SELF,fup,maior,0
641e4f,2024-09-28 18:20:02,SELF,fup,zerinho,9
01daf1,2024-09-28 18:20:02,SELF,fup,zerinho,8
c1d1ef,2024-09-28 18:20:03,SELF,fup,zerinho,7
9f357c,2024-09-28 18:20:03,SELF,fup,zerinho,6
ccdc26,2024-09-28 18:20:03,SELF,fup,zerinho,5
d2aa98,2024-09-28 18:20:03,SELF,fup,zerinho,4
66c476,2024-09-28 18:20:03,SELF,fup,zerinho,3
9261a3,2024-09-28 18:20:03,SELF,fup,zerinho,2
bb5594,2024-09-28 18:20:04,SELF,fup,zerinho,1
594ba1,2024-09-28 18:20:04,SELF,fup,zerinho,0
94fc76,2024-09-28 18:20:05,SELF,fup,taxi,9
8c646d,2024-09-28 18:20:05,SELF,fup,taxi,8
0e3560,2024-09-28 18:20:05,SELF,fup,taxi,7
70619e,2024-09-28 18:20:05,SELF,fup,taxi,6
a21ef8,2024-09-28 18:20:06,SELF,fup,taxi,5
2621b7,2024-09-28 18:20:06,SELF,fup,taxi,4
7edc04,2024-09-28 18:20:06,SELF,fup,taxi,3
c0befa,2024-09-28 18:20:06,SELF,fup,taxi,2
3feef4,2024-09-28 18:20:06,SELF,fup,taxi,1
776997,2024-09-28 18:20:07,SELF,fup,taxi,0
69703c,2024-09-28 18:20:11,TEST,fup,impedido,100%
290956,2024-09-28 18:20:15,TEST,fup,morangos,100%
83138f,2024-09-28 18:25:03,TEST,fup,maximo,100%
de4abb,2024-09-28 18:25:07,SELF,fup,maximo,10
dcb498,2024-09-28 18:27:52,TEST,fup,chaves,100%
ea4cfc,2024-09-28 18:27:55,SELF,fup,chaves,10
563b8a,2024-09-28 18:31:50,TEST,fup,chute,50%
9264ec,2024-09-28 18:32:26,TEST,fup,chute,0%
b9e647,2024-09-28 18:32:29,TEST,fup,chute,50%
b0fd1a,2024-09-28 18:33:08,TEST,fup,chute,50%
b4721e,2024-09-28 18:33:11,TEST,fup,chute,50%
8f1a62,2024-09-28 18:33:11,TEST,fup,chute,50%
e1f675,2024-09-28 18:33:49,TEST,fup,chute,50%
d0a10d,2024-09-28 18:33:50,TEST,fup,chute,50%
534c42,2024-09-28 18:33:52,TEST,fup,chute,50%
61f22f,2024-09-28 18:34:00,TEST,fup,chute,50%
a47ce7,2024-09-28 18:38:28,TEST,fup,chute,30%
523805,2024-09-28 18:38:29,TEST,fup,chute,30%
bb0398,2024-09-28 18:38:39,TEST,fup,chute,50%
494006,2024-09-28 18:38:40,TEST,fup,chute,50%
6a0583,2024-09-28 18:44:08,TEST,fup,chute,70%
8acfb8,2024-09-28 18:44:09,TEST,fup,chute,70%
a05ed9,2024-09-28 18:47:36,TEST,fup,chute,70%
7dd416,2024-09-28 18:47:37,TEST,fup,chute,70%
11c324,2024-09-28 18:49:07,TEST,fup,chute,90%
01b43e,2024-09-28 18:49:09,TEST,fup,chute,90%
18efe1,2024-09-28 18:53:41,TEST,fup,chute,90%
0e766e,2024-09-28 18:54:08,TEST,fup,chute,70%
ff99f7,2024-09-28 18:54:09,TEST,fup,chute,80%
d96063,2024-09-28 18:54:22,TEST,fup,chute,80%
5c0541,2024-09-28 18:54:23,TEST,fup,chute,100%
2d2319,2024-09-28 18:54:28,TEST,fup,chute,100%
4b47ef,2024-09-28 18:54:29,TEST,fup,chute,100%
b8a532,2024-09-28 18:54:31,SELF,fup,chute,10
30a80d,2024-09-28 18:55:09,TEST,fup,chute,100%
0e09ed,2024-09-28 18:55:21,TEST,fup,maior,0%
38e4f6,2024-09-28 19:09:04,TEST,fup,maior,20%
3b82d6,2024-09-28 19:09:05,TEST,fup,maior,20%
6ce2e2,2024-09-28 19:10:07,TEST,fup,maior,20%
e9e2f1,2024-09-28 19:11:03,TEST,fup,maior,0%
b033c5,2024-09-28 19:11:04,TEST,fup,maior,0%
177510,2024-09-28 19:15:20,TEST,fup,maior,100%
9e774f,2024-09-28 19:15:24,SELF,fup,maior,10
b2b37d,2024-09-28 19:16:07,DOWN,fup,par,
17e2f8,2024-09-28 19:16:09,DOWN,fup,par,
c25fae,2024-09-28 19:17:20,TEST,fup,par,COMPILATION_ERROR
262a17,2024-09-28 19:17:37,TEST,fup,par,COMPILATION_ERROR
cb8796,2024-09-28 19:17:38,TEST,fup,par,0%
ad1552,2024-09-28 19:17:39,TEST,fup,par,0%
96a5a2,2024-09-28 19:17:49,TEST,fup,par,42%
0b8e2d,2024-09-28 19:17:50,TEST,fup,par,100%
6654e3,2024-09-28 19:17:52,TEST,fup,par,100%
4bed0e,2024-09-28 19:17:57,SELF,fup,par,10
5c6333,2024-09-28 19:50:48,DOWN,fup,divisiveis,
3ab3d8,2024-09-28 19:53:55,TEST,fup,divisiveis,50%
2a0703,2024-09-28 19:53:56,TEST,fup,divisiveis,50%
cbc5e9,2024-09-28 19:54:43,TEST,fup,divisiveis,62%
